problem,solution
"The dimensions of a kitchen sink measure to 32 in. long, 29 in. wide, and 7 in. deep. What is the volume of the prism in cubic inches?",6496
"Find the median: 96, 30, 26, 55, 17",30
Solve for x: 236 = 22x + 60,8
Simplify the following ratio: 1168/464,73/29
Simplify the following ratio: 203/35,29/5
Solve for x: -841 = 32x + 55,-28
"The dimensions of a kitchen sink measure to 30 in. long, 28 in. wide, and 24 in. deep. What is the volume of the prism in cubic inches?",20160
Simplify the following ratio: 90/126,5/7
Multiply: 975 x 496,483600
Multiply: 989 x 892,882188
"Find the median: 1, 61, 45, 2, 2, 24, 71, 8, 97, 97, 45, 96, 10, 20, 24, 24, 43",24
"Find the median: 97, 53, 52, 31, 77",53
"The dimensions of a minifridge measure to 25 in. long, 38 in. wide, and 20 in. deep. What is the volume of the prism in cubic inches?",19000
"Find the average (to one decimal place): 30, 7, 3, 41, 29, 1, 71",26.0
"The dimensions of a minifridge measure to 12 in. long, 30 in. wide, and 17 in. deep. What is the volume of the prism in cubic inches?",6120
Multiply: 85 x 11,935
Solve for x: -50 = -18x - 32,1
"The dimensions of a microwave measure to 25 in. long, 45 in. wide, and 22 in. deep. What is the volume of the prism in cubic inches?",24750
"Find the median: 75, 56, 92, 35, 70",70
"The dimensions of an aquarium measure to 19 in. long, 45 in. wide, and 7 in. deep. What is the volume of the prism in cubic inches?",5985
"Find the median: 83, 21, 16",21
"Find the average (to one decimal place): 87, 2, 78, 28, 89, 89, 34, 19, 27, 4",45.7
Multiply: 380 x 683,259540
Multiply: 504 x 878,442512
Multiply: 67 x 74,4958
Multiply: 842 x 523,440366
Multiply: 410 x 987,404670
Multiply: 546 x 637,347802
"The dimensions of a minifridge measure to 25 in. long, 36 in. wide, and 6 in. deep. What is the volume of the prism in cubic inches?",5400
"Find the median: 65, 94, 6, 6, 17, 58, 98",58
Multiply: 873 x 406,354438
"The dimensions of a computer case measure to 20 in. long, 48 in. wide, and 23 in. deep. What is the volume of the prism in cubic inches?",22080
"Find the median: 3, 60, 90, 92, 96",90
"Find the average (to one decimal place): 5, 45, 31, 94, 77, 73, 82, 62, 59, 6",53.4
"The dimensions of a microwave measure to 27 in. long, 35 in. wide, and 22 in. deep. What is the volume of the prism in cubic inches?",20790
Simplify the following ratio: 1363/1711,47/59
Solve for x: -50 = -12x + 46,8
"The dimensions of a game console measure to 21 in. long, 46 in. wide, and 13 in. deep. What is the volume of the prism in cubic inches?",12558
Multiply: 831 x 974,809394
Multiply: 37 x 50,1850
Multiply: 78 x 38,2964
"Find the median: 7, 34, 23, 57, 69, 8, 70, 44, 82, 54, 48, 2, 87",48
"Find the average (to one decimal place): 75, 77, 79, 60, 25, 47, 28, 48, 44, 69",55.2
"Find the average (to one decimal place): 16, 60, 79, 40, 49, 91, 40, 53",53.5
Multiply: 354 x 340,120360
Solve for x: 535 = 16x + 55,30
Multiply: 137 x 181,24797
"Find the median: 49, 75, 65, 74, 7, 21, 3, 55, 24, 36, 47",47
"Find the average (to one decimal place): 26, 20, 73, 33, 58, 99, 98, 77",60.5
"Find the average (to one decimal place): 78, 49, 10, 7, 68, 22, 85, 8, 94, 85",50.6
Multiply: 84 x 94,7896
"Find the median: 64, 39, 78, 11, 24, 22, 61, 20, 40, 58, 64, 54, 74, 99, 21, 59, 36",54
"Find the average (to one decimal place): 56, 13, 27, 75, 60, 85, 77, 80, 38, 97",60.8
"Find the average (to one decimal place): 23, 70, 22, 12, 54, 93, 37, 15, 88, 43, 5",42.0
"Find the median: 70, 72, 63, 8, 56, 23, 23, 58, 47, 71, 56, 26, 94",56
Simplify the following ratio: 1378/182,53/7
Multiply: 779 x 195,151905
Multiply: 228 x 459,104652
Solve for x: -868 = 31x - 31,-27
"Find the median: 94, 72, 92, 21, 15",72
"The dimensions of a computer case measure to 23 in. long, 31 in. wide, and 12 in. deep. What is the volume of the prism in cubic inches?",8556
Simplify the following ratio: 319/493,11/17
"The dimensions of a kitchen sink measure to 22 in. long, 41 in. wide, and 9 in. deep. What is the volume of the prism in cubic inches?",8118
Multiply: 16 x 70,1120
"The dimensions of an aquarium measure to 27 in. long, 34 in. wide, and 9 in. deep. What is the volume of the prism in cubic inches?",8262
"The dimensions of an amazon package measure to 22 in. long, 44 in. wide, and 15 in. deep. What is the volume of the prism in cubic inches?",14520
Multiply: 664 x 496,329344
Multiply: 40 x 64,2560
